Reporting Date,Equity,Debt,Hybrid
27-08-2021,-2259.82,-239.91,-2.74
26-08-2021,-887.19,10720.52,-8.09
25-08-2021,-30.31,434.7,29.39
24-08-2021,-1354.64,400.76,-14.09
23-08-2021,517.22,-66.32,120.43
20-08-2021,1102.69,546.38,-30.53
18-08-2021,1926.7,1213.1,-15.08
17-08-2021,-113.95,2528.25,-11.45
13-08-2021,289.84,-1951.31,-8.58
12-08-2021,297.12,134.7,-12.45
11-08-2021,-80.15,18.58,-0.47
10-08-2021,444.93,-87.07,-6.83
09-08-2021,158.02,-394.49,9.08
06-08-2021,-542.97,20.02,-5.1
05-08-2021,3465.95,76.12,-4.43
04-08-2021,2098.05,-454.61,-16.67
03-08-2021,-1487.84,444.6,-8.33
02-08-2021,-2557.88,149.4,91.06
30-07-2021,-182.97,88.43,-8.48
29-07-2021,-2442.96,410.99,-5.83
28-07-2021,-558.18,88.66,-7.56
27-07-2021,-2219.91,120.19,-10.13
26-07-2021,-215.11,136.92,-10.66
23-07-2021,4310.04,-1328.52,-14.34
22-07-2021,-2782.38,-511.65,-9.96
20-07-2021,-2278.56,1278.79,-14.06
19-07-2021,-423.65,719.03,-21.14
16-07-2021,383.16,888.08,-4.46
15-07-2021,-1224.53,-103.14,-6.12
14-07-2021,69.91,594.49,-9.43
13-07-2021,-490.7,-511.02,-5.88
12-07-2021,-1003.51,76.84,0.84
09-07-2021,-640.81,211.13,5.8
08-07-2021,661.1,747.71,-0.84
07-07-2021,1035.81,-899.07,-0.96
06-07-2021,438.89,608.48,4.85
05-07-2021,-2509.57,1780.52,-19.42
02-07-2021,-114.41,-323.73,-8.48
01-07-2021,-1120.02,-37.18,8.68
30-06-2021,3290.17,-458.93,-2.18
29-06-2021,-1177.92,52.48,6.83
28-06-2021,-179.07,-971.44,-1.55
25-06-2021,-780.23,-315.81,2.34
24-06-2021,-247.77,123.02,-1.37
23-06-2021,-679.57,181.93,-3.97
22-06-2021,-955.29,-134.21,-0.6
21-06-2021,2632.28,-777.43,-3.6
18-06-2021,-913.71,424.66,-7.16
17-06-2021,-886.26,271.29,-9.54
16-06-2021,679.77,74.08,-7.96
15-06-2021,807.16,-337.71,-2.01
14-06-2021,104.96,18.29,-2.2
11-06-2021,1442.43,1667.22,-4.13
10-06-2021,597.93,-2094.92,-90.09
09-06-2021,3839.01,-897.05,-6.7
08-06-2021,160.5,-466.8,-43.03
07-06-2021,1513.86,-456.63,-21.62
04-06-2021,1186.94,420.81,-25.22
03-06-2021,1092.44,-242.71,-22.81
02-06-2021,524.02,511.02,-17.16
01-06-2021,5163.36,-536.72,-31.75
31-05-2021,420.86,-1358.73,-31.72
28-05-2021,44.59,-950.66,-14.86
27-05-2021,1494.88,-213.82,-17.73
25-05-2021,1122.97,-74.93,-11.97
24-05-2021,332.41,959.15,11.02
21-05-2021,223.55,594.86,-54.95
20-05-2021,2532.89,-1584.93,-64.87
19-05-2021,1139.76,-301.26,-10.57
18-05-2021,-1357.24,151.97,-24.95
17-05-2021,-2482.16,3089.89,-20.46
14-05-2021,-1173.66,-95.82,-68.81
12-05-2021,715.92,-683.81,1296.69
11-05-2021,1168.73,-173.82,-8.53
10-05-2021,-1201.44,552.46,-7.04
07-05-2021,1086.43,380.71,-2.06
06-05-2021,-457.54,50.63,-243.5
05-05-2021,-1744.37,809.42,-13.13
04-05-2021,-1670.02,-93.7,-12.41
03-05-2021,-3150.9,-770.54,9.32
30-04-2021,1442.21,-827.23,-11.23
29-04-2021,913.04,-266.72,-12.55
28-04-2021,-1108.99,291.56,-9.39
27-04-2021,-1055.38,399.36,424.82
26-04-2021,-1175.89,-424.9,278.39
23-04-2021,-904.49,-583.47,1.39
22-04-2021,-728.17,-628.44,2.62
20-04-2021,-1654.14,586.59,-18.61
19-04-2021,-744.69,1649.56,-8.25
16-04-2021,-812.65,514.94,-13.36
15-04-2021,-2481.92,408.56,-15.55
12-04-2021,-607.71,-706.54,-7.39
09-04-2021,2083.51,116.53,-6.14
08-04-2021,402.69,-49.92,-2.11
07-04-2021,-872.97,-781.94,-2.69
06-04-2021,-659.88,-1361.3,-3.13
05-04-2021,-1693.71,1887.62,2.16
31-03-2021,-470.42,6891.41,8.36
30-03-2021,395.01,232.92,-12.58
26-03-2021,-2887.76,587.77,-27.1
25-03-2021,-1609.77,4676.09,-0.89
24-03-2021,-29.46,207.24,1.61
23-03-2021,276.5,174.67,-3.64
22-03-2021,606.22,-388.28,-7.75
19-03-2021,1314.19,-3.67,-9.41
18-03-2021,3231.4,-285.1,-3.63
17-03-2021,7257.37,1249.44,0.84
16-03-2021,-961.68,348.96,-16.28
15-03-2021,3891.32,-387.17,-7.92
12-03-2021,677.88,-472.09,-17.2
10-03-2021,2670.75,-53.15,-12.56
09-03-2021,-1202.22,-1255.96,-18.71
08-03-2021,-1796.32,-426.25,-10.44
05-03-2021,1358.4,898.03,-9.32
04-03-2021,2433.27,-2374.08,-41.27
03-03-2021,2649.35,-1534.89,-12.17
02-03-2021,849.41,-64.3,-27.26
01-03-2021,-8171.48,-1199.51,-54.08
26-02-2021,1790.14,-1835.74,-47.12
25-02-2021,-300.47,-2461.38,-36.68
